"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","Total Population","Average Family Income","   Unemployed","Break & Enters","Robberies","   Chinese","   Korean","   Japanese"
"Lawrence Park North",105.0,"N/A",14560.0,14607.0,165131.0,505.0,28.0,4.0,1195.0,300.0,135.0
"Humewood-Cedarvale",106.0,"N/A",14225.0,14365.0,105770.0,630.0,26.0,7.0,295.0,150.0,120.0
"Oakwood Village",107.0,"N/A",20960.0,21210.0,67809.0,800.0,22.0,18.0,880.0,120.0,125.0
"Briar Hill-Belgravia",108.0,"N/A",14205.0,14257.0,67358.0,725.0,31.0,15.0,260.0,130.0,70.0
"Caledonia-Fairbank",109.0,"N/A",9905.0,9955.0,66257.0,400.0,13.0,18.0,235.0,30.0,10.0
"Keelesdale-Eglinton West",110.0,"N/A",11045.0,11058.0,64857.0,485.0,14.0,23.0,160.0,20.0,40.0
"Rockcliffe-Smythe",111.0,"N/A",22235.0,22246.0,64271.0,1030.0,37.0,46.0,465.0,55.0,90.0
"Beechborough-Greenbrook",112.0,"N/A",6370.0,6577.0,58706.0,355.0,12.0,10.0,110.0,15.0,0.0
"Weston",113.0,"N/A",17685.0,17992.0,61470.0,965.0,43.0,35.0,335.0,75.0,65.0
"Lambton Baby Point",114.0,"N/A",7985.0,7985.0,122277.0,320.0,8.0,2.0,175.0,50.0,10.0
"Mount Dennis",115.0,"N/A",13260.0,13593.0,57386.0,745.0,30.0,24.0,310.0,155.0,45.0
"Steeles",116.0,"N/A",24265.0,24623.0,67732.0,1045.0,48.0,13.0,17755.0,120.0,60.0
"L'Amoreaux",117.0,"N/A",43500.0,43993.0,64493.0,2300.0,48.0,31.0,16165.0,195.0,145.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27030.0,27446.0,64630.0,1175.0,60.0,12.0,8665.0,255.0,175.0
"Wexford/Maryvale",119.0,"N/A",27545.0,27917.0,69418.0,1285.0,74.0,21.0,1910.0,190.0,70.0
"Clairlea-Birchmount",120.0,"N/A",26295.0,26984.0,69549.0,1240.0,88.0,30.0,2120.0,110.0,180.0
"Oakridge",121.0,"N/A",13610.0,13845.0,50793.0,900.0,57.0,25.0,705.0,30.0,25.0
"Birchcliffe-Cliffside",122.0,"N/A",21695.0,22291.0,90256.0,1055.0,76.0,19.0,1190.0,30.0,195.0
"Cliffcrest",123.0,"N/A",15805.0,15935.0,83694.0,795.0,57.0,18.0,765.0,55.0,90.0
"Kennedy Park",124.0,"N/A",17100.0,17123.0,58513.0,775.0,45.0,27.0,1035.0,50.0,75.0
"Ionview",125.0,"N/A",13610.0,13641.0,57069.0,610.0,17.0,8.0,600.0,35.0,10.0
"Dorset Park",126.0,"N/A",24380.0,25003.0,60973.0,1230.0,69.0,41.0,2745.0,25.0,65.0
"Bendale",127.0,"N/A",29100.0,29960.0,65560.0,1255.0,56.0,55.0,4400.0,205.0,155.0
"Agincourt South-Malvern West",128.0,"N/A",23470.0,23757.0,68465.0,1185.0,61.0,18.0,11110.0,140.0,40.0
"Agincourt North",129.0,"N/A",28825.0,29113.0,67622.0,1360.0,49.0,12.0,16460.0,70.0,60.0
"Milliken",130.0,"N/A",26060.0,26572.0,66372.0,1160.0,67.0,25.0,18715.0,0.0,35.0
"Rouge",131.0,"N/A",46060.0,46496.0,86997.0,2010.0,76.0,29.0,2100.0,65.0,105.0
"Malvern",132.0,"N/A",43765.0,43794.0,64497.0,2335.0,65.0,54.0,3275.0,75.0,30.0
"Centennial Scarborough",133.0,"N/A",13340.0,13362.0,102278.0,545.0,18.0,11.0,710.0,40.0,85.0
"Highland Creek",134.0,"N/A",12465.0,12494.0,98857.0,565.0,34.0,7.0,955.0,130.0,35.0
"Morningside",135.0,"N/A",17150.0,17455.0,66024.0,995.0,19.0,12.0,880.0,65.0,65.0
"West Hill",136.0,"N/A",26960.0,27392.0,65871.0,1515.0,72.0,56.0,685.0,80.0,55.0
"Woburn",137.0,"N/A",53005.0,53485.0,63186.0,2665.0,78.0,58.0,3715.0,210.0,100.0
"Eglinton East",138.0,"N/A",22265.0,22776.0,57357.0,1155.0,62.0,32.0,895.0,40.0,65.0
"Scarborough Village",139.0,"N/A",16430.0,16724.0,61631.0,980.0,34.0,22.0,390.0,20.0,20.0
"Guildwood",140.0,"N/A",9650.0,9917.0,92858.0,395.0,17.0,8.0,275.0,45.0,100.0
